AR.X:				X68k Archiver v1.00 				Copyright 1987 SHARP/Hudson
AS.X:				X68k Assembler v3.00 				Copyright 1987,88,89,90,91,92,93 SHARP/Hudson
BIND.X:				X68k Binder v1.00 					Copyright 1989 SHARP/Hudson
has309.x, has000.x:	X68k High-speed Assembler v3.09 	Copyright 1990-94 by Y.Nakamura
HAS060.X:			X68k High-speed Assembler v3.09+87 	Copyright 1990-94/96-99 Y.Nakamura/M.Kamada
has234.x:			X68k High-speed Assembler v2.34 	Copyright 1990,91 by Y.Nakamura
has250.x: 			X68k High-speed Assembler v2.50 	Copyright 1990,91,92 by Y.Nakamura
hlk301.x:			X68k SILK Hi-Speed Linker v3.01 	Copyright 1989-94 SALT
hlk301-12.r:		HLK evolution version 3.01+12 		Copyright 1989-94 SALT, 1999/07/16 Eriko Tachibana.
LIB.X:				X68k Librarian v1.10 				Copyright 1990,91,92 SHARP/Hudson
lk.x:				X68k Linker v3.00 					Copyright 1987,88,89,90,91,92,93 SHARP/Hudson
LK300.X:			X68k Linker v3.00 					Copyright 1987,88,89,90,91,92,93 SHARP/Hudson
MAKE.X:				X68k Make v1.10 					Copyright 1990,91,92 SHARP/Hudson
silk229.x:			X68k SILK Hi-Speed Linker v2.29 	Copyright 1989-93 SALT
silk301.x:			X68k SILK Hi-Speed Linker v3.01 	Copyright 1989-94 SALT
